[0, 352]
[16, 16]
[16, 32]
[16, 48]
[16, 64]
[16, 80]
[16, 96]
[16, 112]
[16, 128]
[16, 144]
[16, 160]
[16, 176]
[16, 192]
[16, 208]
[16, 224]
[16, 240]
[16, 256]
[16, 272]
[16, 288]
[16, 352]
[16, 416]
[16, 432]
[16, 448]
[16, 464]
[16, 480]
[16, 496]
[16, 512]
[16, 576]
[16, 592]
[16, 608]
[16, 624]
[16, 640]
[16, 656]
[16, 672]
[16, 688]
[32, 16]
[32, 64]
[32, 112]
[32, 208]
[32, 288]
[32, 352]
[32, 416]
[32, 464]
[32, 512]
[32, 576]
[32, 688]
[48, 16]
[48, 64]
[48, 112]
[48, 208]
[48, 288]
[48, 352]
[48, 416]
[48, 464]
[48, 512]
[48, 576]
[48, 688]
[64, 16]
[64, 64]
[64, 112]
[64, 208]
[64, 288]
[64, 352]
[64, 416]
[64, 464]
[64, 512]
[64, 576]
[64, 688]
[80, 16]
[80, 64]
[80, 112]
[80, 128]
[80, 144]
[80, 160]
[80, 176]
[80, 192]
[80, 208]
[80, 224]
[80, 240]
[80, 256]
[80, 272]
[80, 288]
[80, 304]
[80, 320]
[80, 336]
[80, 352]
[80, 368]
[80, 384]
[80, 400]
[80, 416]
[80, 432]
[80, 448]
[80, 464]
[80, 480]
[80, 496]
[80, 512]
[80, 528]
[80, 544]
[80, 560]
[80, 576]
[80, 592]
[80, 608]
[80, 624]
[80, 640]
[80, 656]
[80, 672]
[80, 688]
[96, 16]
[96, 64]
[96, 128]
[96, 416]
[96, 464]
[96, 512]
[96, 576]
[96, 688]
[112, 16]
[112, 64]
[112, 128]
[112, 416]
[112, 464]
[112, 512]
[112, 576]
[112, 640]
[112, 656]
[112, 672]
[112, 688]
[128, 16]
[128, 64]
[128, 128]
[128, 416]
[128, 464]
[128, 512]
[128, 576]
[128, 640]
[128, 688]
[144, 16]
[144, 64]
[144, 112]
[144, 128]
[144, 144]
[144, 160]
[144, 176]
[144, 192]
[144, 208]
[144, 224]
[144, 240]
[144, 256]
[144, 272]
[144, 288]
[144, 304]
[144, 320]
[144, 336]
[144, 352]
[144, 368]
[144, 384]
[144, 400]
[144, 416]
[144, 432]
[144, 448]
[144, 464]
[144, 480]
[144, 496]
[144, 512]
[144, 528]
[144, 544]
[144, 560]
[144, 576]
[144, 592]
[144, 608]
[144, 624]
[144, 640]
[144, 688]
[160, 16]
[160, 64]
[160, 112]
[160, 192]
[160, 336]
[160, 416]
[160, 480]
[160, 576]
[160, 688]
[176, 16]
[176, 64]
[176, 112]
[176, 192]
[176, 336]
[176, 416]
[176, 480]
[176, 576]
[176, 688]
[192, 16]
[192, 64]
[192, 80]
[192, 96]
[192, 112]
[192, 128]
[192, 192]
[192, 208]
[192, 224]
[192, 240]
[192, 256]
[192, 272]
[192, 288]
[192, 304]
[192, 320]
[192, 336]
[192, 416]
[192, 480]
[192, 576]
[192, 688]
[208, 16]
[208, 48]
[208, 64]
[208, 128]
[208, 192]
[208, 416]
[208, 480]
[208, 576]
[208, 688]
[224, 16]
[224, 48]
[224, 128]
[224, 192]
[224, 416]
[224, 432]
[224, 448]
[224, 464]
[224, 480]
[224, 496]
[224, 512]
[224, 528]
[224, 544]
[224, 560]
[224, 576]
[224, 592]
[224, 608]
[224, 624]
[224, 688]
[240, 16]
[240, 32]
[240, 48]
[240, 128]
[240, 192]
[240, 208]
[240, 224]
[240, 240]
[240, 256]
[240, 304]
[240, 320]
[240, 336]
[240, 352]
[240, 368]
[240, 384]
[240, 400]
[240, 416]
[240, 480]
[240, 576]
[240, 624]
[240, 688]
[256, 16]
[256, 128]
[256, 224]
[256, 256]
[256, 304]
[256, 400]
[256, 448]
[256, 464]
[256, 480]
[256, 496]
[256, 512]
[256, 576]
[256, 624]
[256, 640]
[256, 656]
[256, 688]
[272, 16]
[272, 128]
[272, 224]
[272, 256]
[272, 304]
[272, 336]
[272, 352]
[272, 368]
[272, 400]
[272, 448]
[272, 480]
[272, 512]
[272, 576]
[272, 656]
[272, 688]
[288, 16]
[288, 32]
[288, 48]
[288, 64]
[288, 80]
[288, 96]
[288, 112]
[288, 128]
[288, 144]
[288, 160]
[288, 176]
[288, 192]
[288, 208]
[288, 224]
[288, 256]
[288, 272]
[288, 288]
[288, 304]
[288, 336]
[288, 352]
[288, 368]
[288, 400]
[288, 416]
[288, 432]
[288, 448]
[288, 480]
[288, 512]
[288, 528]
[288, 544]
[288, 560]
[288, 576]
[288, 656]
[288, 672]
[288, 688]
[304, 32]
[304, 128]
[304, 224]
[304, 304]
[304, 320]
[304, 336]
[304, 352]
[304, 368]
[304, 400]
[304, 480]
[304, 576]
[304, 688]
[320, 32]
[320, 128]
[320, 224]
[320, 304]
[320, 320]
[320, 336]
[320, 352]
[320, 368]
[320, 400]
[320, 480]
[320, 576]
[320, 688]
[336, 16]
[336, 32]
[336, 48]
[336, 64]
[336, 80]
[336, 96]
[336, 112]
[336, 128]
[336, 144]
[336, 160]
[336, 176]
[336, 192]
[336, 208]
[336, 224]
[336, 256]
[336, 272]
[336, 288]
[336, 304]
[336, 336]
[336, 352]
[336, 368]
[336, 400]
[336, 416]
[336, 432]
[336, 448]
[336, 480]
[336, 512]
[336, 528]
[336, 544]
[336, 560]
[336, 576]
[336, 656]
[336, 672]
[336, 688]
[352, 16]
[352, 128]
[352, 224]
[352, 256]
[352, 304]
[352, 336]
[352, 352]
[352, 368]
[352, 400]
[352, 448]
[352, 480]
[352, 512]
[352, 576]
[352, 656]
[352, 688]
[368, 16]
[368, 128]
[368, 224]
[368, 256]
[368, 304]
[368, 400]
[368, 448]
[368, 464]
[368, 480]
[368, 496]
[368, 512]
[368, 576]
[368, 624]
[368, 640]
[368, 656]
[368, 688]
[384, 16]
[384, 32]
[384, 48]
[384, 128]
[384, 192]
[384, 208]
[384, 224]
[384, 240]
[384, 256]
[384, 304]
[384, 320]
[384, 336]
[384, 352]
[384, 368]
[384, 384]
[384, 400]
[384, 416]
[384, 480]
[384, 576]
[384, 624]
[384, 688]
[400, 16]
[400, 48]
[400, 128]
[400, 192]
[400, 416]
[400, 432]
[400, 448]
[400, 464]
[400, 480]
[400, 496]
[400, 512]
[400, 528]
[400, 544]
[400, 560]
[400, 576]
[400, 592]
[400, 608]
[400, 624]
[400, 688]
[416, 16]
[416, 48]
[416, 64]
[416, 128]
[416, 192]
[416, 416]
[416, 480]
[416, 576]
[416, 688]
[432, 16]
[432, 64]
[432, 80]
[432, 96]
[432, 112]
[432, 128]
[432, 192]
[432, 208]
[432, 224]
[432, 240]
[432, 256]
[432, 272]
[432, 288]
[432, 304]
[432, 320]
[432, 336]
[432, 416]
[432, 480]
[432, 576]
[432, 688]
[448, 16]
[448, 64]
[448, 112]
[448, 192]
[448, 336]
[448, 416]
[448, 480]
[448, 576]
[448, 688]
[464, 16]
[464, 64]
[464, 112]
[464, 192]
[464, 336]
[464, 416]
[464, 480]
[464, 576]
[464, 688]
[480, 16]
[480, 64]
[480, 112]
[480, 128]
[480, 144]
[480, 160]
[480, 176]
[480, 192]
[480, 208]
[480, 224]
[480, 240]
[480, 256]
[480, 272]
[480, 288]
[480, 304]
[480, 320]
[480, 336]
[480, 352]
[480, 368]
[480, 384]
[480, 400]
[480, 416]
[480, 432]
[480, 448]
[480, 464]
[480, 480]
[480, 496]
[480, 512]
[480, 528]
[480, 544]
[480, 560]
[480, 576]
[480, 592]
[480, 608]
[480, 624]
[480, 640]
[480, 688]
[496, 16]
[496, 64]
[496, 128]
[496, 416]
[496, 464]
[496, 512]
[496, 576]
[496, 640]
[496, 688]
[512, 16]
[512, 64]
[512, 128]
[512, 416]
[512, 464]
[512, 512]
[512, 576]
[512, 640]
[512, 656]
[512, 672]
[512, 688]
[528, 16]
[528, 64]
[528, 128]
[528, 416]
[528, 464]
[528, 512]
[528, 576]
[528, 688]
[544, 16]
[544, 64]
[544, 112]
[544, 128]
[544, 144]
[544, 160]
[544, 176]
[544, 192]
[544, 208]
[544, 224]
[544, 240]
[544, 256]
[544, 272]
[544, 288]
[544, 304]
[544, 320]
[544, 336]
[544, 352]
[544, 368]
[544, 384]
[544, 400]
[544, 416]
[544, 432]
[544, 448]
[544, 464]
[544, 480]
[544, 496]
[544, 512]
[544, 528]
[544, 544]
[544, 560]
[544, 576]
[544, 592]
[544, 608]
[544, 624]
[544, 640]
[544, 656]
[544, 672]
[544, 688]
[560, 16]
[560, 64]
[560, 112]
[560, 208]
[560, 288]
[560, 352]
[560, 416]
[560, 464]
[560, 512]
[560, 576]
[560, 688]
[576, 16]
[576, 64]
[576, 112]
[576, 208]
[576, 288]
[576, 352]
[576, 416]
[576, 464]
[576, 512]
[576, 576]
[576, 688]
[592, 16]
[592, 64]
[592, 112]
[592, 208]
[592, 288]
[592, 352]
[592, 416]
[592, 464]
[592, 512]
[592, 576]
[592, 688]
[608, 16]
[608, 32]
[608, 48]
[608, 64]
[608, 80]
[608, 96]
[608, 112]
[608, 128]
[608, 144]
[608, 160]
[608, 176]
[608, 192]
[608, 208]
[608, 224]
[608, 240]
[608, 256]
[608, 272]
[608, 288]
[608, 352]
[608, 416]
[608, 432]
[608, 448]
[608, 464]
[608, 480]
[608, 496]
[608, 512]
[608, 576]
[608, 592]
[608, 608]
[608, 624]
[608, 640]
[608, 656]
[608, 672]
[608, 688]
[624, 352]
